Chaperone_Name,Chaperone_ID,Target_ID,Source
DJC27_HUMAN,Q9NZQ0,Q9NVQ4,IntAct
DJC27_HUMAN,Q9NZQ0,Q8NB25,IntAct
DJC27_HUMAN,Q9NZQ0,Q8N4N3,IntAct
DJC27_HUMAN,Q9NZQ0,P50579,IntAct
DJC27_HUMAN,Q9NZQ0,Q12800,IntAct
DJC27_HUMAN,Q9NZQ0,Q9BV99,IntAct
DNJ5B_HUMAN,Q9UF47,O95747,IntAct
DNJ5B_HUMAN,Q9UF47,Q15021,IntAct
DNJ5B_HUMAN,Q9UF47,O95407,IntAct
DNJ5B_HUMAN,Q9UF47,Q8IUH5,IntAct
DNJ5B_HUMAN,Q9UF47,Q9Y2U8,IntAct
DNJ5B_HUMAN,Q9UF47,P40938,IntAct
DNJ5B_HUMAN,Q9UF47,Q07065,IntAct
DNJ5B_HUMAN,Q9UF47,Q8IUH4,IntAct
DNJ5B_HUMAN,Q9UF47,Q2TAA5,IntAct
DNJ5B_HUMAN,Q9UF47,P51809,IntAct
DNJ5B_HUMAN,Q9UF47,Q12800,IntAct
DNJ5B_HUMAN,Q9UF47,Q8NEW0,IntAct
DNJ5B_HUMAN,Q9UF47,P13164,IntAct
DNJA1_HUMAN,P31689,P19438,IntAct
DNJA1_HUMAN,P31689,Q16659,IntAct
DNJA1_HUMAN,P31689,P05214,IntAct
DNJA1_HUMAN,P31689,P59020,IntAct
DNJA1_HUMAN,P31689,Q15051,IntAct
DNJA1_HUMAN,P31689,Q9BVQ7,IntAct
DNJA1_HUMAN,P31689,P42898,IntAct
DNJA1_HUMAN,P31689,Q99558,IntAct
DNJA1_HUMAN,P31689,P53671,IntAct
DNJA1_HUMAN,P31689,Q13439,IntAct
DNJA1_HUMAN,P31689,Q9NYJ8,IntAct
DNJA1_HUMAN,P31689,Q9HBG6,IntAct
DNJA1_HUMAN,P31689,Q13617,IntAct
DNJA1_HUMAN,P31689,Q96FW1,IntAct
DNJA1_HUMAN,P31689,P05213,IntAct
DNJA1_HUMAN,P31689,Q6ZMQ8,IntAct
DNJA1_HUMAN,P31689,Q96BE0,IntAct
DNJA1_HUMAN,P31689,Q13882,IntAct
DNJA1_HUMAN,P31689,O15524,IntAct
DNJA1_HUMAN,P31689,P41743,IntAct
DNJA1_HUMAN,P31689,O95831,IntAct
DNJA1_HUMAN,P31689,Q77M19,IntAct
DNJA1_HUMAN,P31689,P83110,IntAct
DNJA1_HUMAN,P31689,Q04206,IntAct
DNJA1_HUMAN,P31689,A0JLT2,IntAct
DNJA1_HUMAN,P31689,Q6IQ23,IntAct
DNJA1_HUMAN,P31689,Q5S007,IntAct
DNJA1_HUMAN,P31689,Q9H074,IntAct
DNJA1_HUMAN,P31689,P0DOE9,IntAct
DNJA1_HUMAN,P31689,Q13164,IntAct
DNJA1_HUMAN,P31689,Q01974,IntAct
DNJA1_HUMAN,P31689,Q05513,IntAct
DNJA1_HUMAN,P31689,Q2TB90,IntAct
DNJA1_HUMAN,P31689,P57078,IntAct
DNJA1_HUMAN,P31689,Q15468,IntAct
DNJA1_HUMAN,P31689,P35240,IntAct
DNJA1_HUMAN,P31689,Q13620,IntAct
DNJA1_HUMAN,P31689,Q14444,IntAct
DNJA1_HUMAN,P31689,P0DTD8,IntAct
DNJA1_HUMAN,P31689,P69905,IntAct
DNJA1_HUMAN,P31689,P09936,IntAct
DNJA1_HUMAN,P31689,Q13163,IntAct
DNJA1_HUMAN,P31689,Q99576,IntAct
DNJA1_HUMAN,P31689,Q13509,IntAct
DNJA1_HUMAN,P31689,Q9HCK5,IntAct
DNJA1_HUMAN,P31689,Q9Y4K3,IntAct
DNJA1_HUMAN,P31689,P69479,IntAct
DNJA1_HUMAN,P31689,P0DTC3,IntAct
DNJA1_HUMAN,P31689,Q14684,IntAct
DNJA1_HUMAN,P31689,P13569,IntAct
DNJA1_HUMAN,P31689,Q5JTY5,IntAct
DNJA1_HUMAN,P31689,Q9UBN7,IntAct
DNJA1_HUMAN,P31689,Q12933,IntAct
DNJA1_HUMAN,P31689,Q15750,IntAct
DNJA1_HUMAN,P31689,P35226,IntAct
DNJA1_HUMAN,P31689,P09622,IntAct
DNJA1_HUMAN,P31689,P04626,IntAct
DNJA1_HUMAN,P31689,O75161,IntAct
DNJA1_HUMAN,P31689,P10636,IntAct
DNJA1_HUMAN,P31689,Q9HC29,IntAct
DNJA1_HUMAN,P31689,Q8WW22,IntAct
DNJA1_HUMAN,P31689,Q14CZ7,IntAct
DNJA1_HUMAN,P31689,Q9Y281,IntAct
DNJA1_HUMAN,P31689,Q93034,IntAct
DNJA1_HUMAN,P31689,Q9Z1B5,IntAct
DNJA1_HUMAN,P31689,P03372,IntAct
DNJA1_HUMAN,P31689,Q16526,IntAct
DNJA1_HUMAN,P31689,Q9BXK1,IntAct
DNJA1_HUMAN,P31689,Q9NXB0,IntAct
DNJA1_HUMAN,P31689,P31930,IntAct
DNJA1_HUMAN,P31689,Q15628,IntAct
DNJA1_HUMAN,P31689,Q9BY44,IntAct
DNJA1_HUMAN,P31689,P83887,IntAct
DNJA1_HUMAN,P31689,P52298,IntAct
DNJA1_HUMAN,P31689,Q8NB90,IntAct
DNJA1_HUMAN,P31689,Q15334,IntAct
DNJA1_HUMAN,P31689,P06213,IntAct
DNJA1_HUMAN,P31689,Q96SU4,IntAct
DNJA1_HUMAN,P31689,P07900,IntAct
DNJA1_HUMAN,P31689,Q9Y2Q3,IntAct
DNJA1_HUMAN,P31689,O75533,IntAct
DNJA1_HUMAN,P31689,Q13043,IntAct
DNJA1_HUMAN,P31689,Q969S8,IntAct
DNJA1_HUMAN,P31689,O75665,IntAct
DNJA1_HUMAN,P31689,P0DTC8,IntAct
DNJA1_HUMAN,P31689,O43318,IntAct
DNJA1_HUMAN,P31689,P35916,IntAct
DNJA1_HUMAN,P31689,Q9NPF4,IntAct
DNJA1_HUMAN,P31689,Q71U36,IntAct
DNJA1_HUMAN,P31689,P41240,IntAct
DNJA1_HUMAN,P31689,Q13077,IntAct
DNJA1_HUMAN,P31689,P04637,IntAct
DNJA1_HUMAN,P31689,P01889,IntAct
DNJA1_HUMAN,P31689,Q8IVT5,IntAct
DNJA1_HUMAN,P31689,P49703,IntAct
DNJA1_HUMAN,P31689,Q06418,IntAct
DNJA1_HUMAN,P31689,Q13042,IntAct
DNJA1_HUMAN,P31689,Q9H492,IntAct
DNJA1_HUMAN,P31689,O95714,IntAct
DNJA1_HUMAN,P31689,P15498,IntAct
DNJA1_HUMAN,P31689,Q8TB24,IntAct
DNJA1_HUMAN,P31689,Q9Y287,IntAct
DNJA1_HUMAN,P31689,P11362,IntAct
DNJA1_HUMAN,P31689,Q14249,IntAct
DNJA1_HUMAN,P31689,O95166,IntAct
DNJA1_HUMAN,P31689,P46734,IntAct
DNJA1_HUMAN,P31689,Q13233,IntAct
DNJA1_HUMAN,P31689,Q9Y251,IntAct
DNJA1_HUMAN,P31689,Q9UBP0,IntAct
DNJA1_HUMAN,P31689,P04629,IntAct
DNJA1_HUMAN,P31689,O75940,IntAct
DNJA1_HUMAN,P31689,Q16288,IntAct
DNJA1_HUMAN,P31689,Q02156,IntAct
DNJA1_HUMAN,P31689,P22612,IntAct
DNJA1_HUMAN,P31689,P49354,IntAct
DNJA1_HUMAN,P31689,Q15054,IntAct
DNJA1_HUMAN,P31689,Q4G0J3,IntAct
DNJA1_HUMAN,P31689,Q9UM11,IntAct
DNJA1_HUMAN,P31689,P60520,IntAct
DNJA1_HUMAN,P31689,P03427,IntAct
DNJA1_HUMAN,P31689,P19256,IntAct
DNJA1_HUMAN,P31689,Q6ZNJ1,IntAct
DNJA1_HUMAN,P31689,O75365,IntAct
DNJA1_HUMAN,P31689,Q13153,IntAct
DNJA1_HUMAN,P31689,O14649,IntAct
DNJA1_HUMAN,P31689,Q9H9G7,IntAct
DNJA1_HUMAN,P31689,P10398,IntAct
DNJA1_HUMAN,P31689,Q9P2S5,IntAct
DNJA1_HUMAN,P31689,P61586,IntAct
DNJA1_HUMAN,P31689,P20333,IntAct
DNJA1_HUMAN,P31689,A0A142I5B9,IntAct
DNJA1_HUMAN,P31689,Q8JPQ9,IntAct
DNJA1_HUMAN,P31689,Q9Y266,IntAct
DNJA1_HUMAN,P31689,O60260,IntAct
DNJA1_HUMAN,P31689,P08069,IntAct
DNJA1_HUMAN,P31689,P15822,IntAct
DNJA1_HUMAN,P31689,Q00653,IntAct
DNJA1_HUMAN,P31689,Q99759,IntAct
DNJA1_HUMAN,P31689,O14829,IntAct
DNJA1_HUMAN,P31689,Q9H9B4,IntAct
DNJA1_HUMAN,P31689,P33151,IntAct
DNJA1_HUMAN,P31689,Q15077,IntAct
DNJA1_HUMAN,P31689,P30530,IntAct
DNJA1_HUMAN,P31689,P68871,IntAct
DNJA1_HUMAN,P31689,P21860,IntAct
DNJA1_HUMAN,P31689,Q92956,IntAct
DNJA1_HUMAN,P31689,Q9BXB4,IntAct
DNJA1_HUMAN,P31689,P35550,IntAct
DNJA1_HUMAN,P31689,P57058,IntAct
DNJA1_HUMAN,P31689,O60741,IntAct
DNJA1_HUMAN,P31689,O00422,IntAct
DNJA1_HUMAN,P31689,P0DTD1,IntAct
DNJA1_HUMAN,P31689,Q13546,IntAct
DNJA1_HUMAN,P31689,Q9Y333,IntAct
DNJA1_HUMAN,P31689,Q7Z6J6,IntAct
DNJA1_HUMAN,P31689,Q8N302,IntAct
DNJA1_HUMAN,P31689,Q8IXH7,IntAct
DNJA1_HUMAN,P31689,Q9HB71,IntAct
DNJA1_HUMAN,P31689,P42858,IntAct
DNJA1_HUMAN,P31689,O00429,IntAct
DNJA1_HUMAN,P31689,O43542,IntAct
DNJA1_HUMAN,P31689,P00533,IntAct
DNJA1_HUMAN,P31689,Q4JQW6,IntAct
DNJA1_HUMAN,P31689,O60884,IntAct
DNJA1_HUMAN,P31689,Q9C0F1,IntAct
DNJA1_HUMAN,P31689,Q9BQE3,IntAct
DNJA1_HUMAN,P31689,P06239,IntAct
DNJA1_HUMAN,P31689,Q92834,IntAct
DNJA1_HUMAN,P31689,Q9NX70,IntAct
DNJA1_HUMAN,P31689,Q96CS3,IntAct
DNJA1_HUMAN,P31689,Q13618,IntAct
DNJA1_HUMAN,P31689,Q9H1R3,IntAct
DNJA1_HUMAN,P31689,P05129,IntAct
DNJA1_HUMAN,P31689,Q13418,IntAct
DNJA1_HUMAN,P31689,P08559,IntAct
DNJA1_HUMAN,P31689,Q96DB2,IntAct
DNJA1_HUMAN,P31689,P23396,IntAct
DNJA1_HUMAN,P31689,P0DOF2,IntAct
DNJA1_HUMAN,P31689,Q9Y572,IntAct
DNJA1_HUMAN,P31689,P68372,IntAct
DNJA1_HUMAN,P31689,P26196,IntAct
DNJA1_HUMAN,P31689,P30408,IntAct
DNJA1_HUMAN,P31689,Q92905,IntAct
DNJA1_HUMAN,P31689,P49023,IntAct
DNJA1_HUMAN,P31689,P60842,IntAct
DNJA1_HUMAN,P31689,P19419,IntAct
DNJA1_HUMAN,P31689,P99024,IntAct
DNJA1_HUMAN,P31689,Q9Y2T4,IntAct
DNJA1_HUMAN,P31689,P51617,IntAct
DNJA1_HUMAN,P31689,P04049,IntAct
DNJA1_HUMAN,P31689,Q92769,IntAct
DNJA1_HUMAN,P31689,P36507,IntAct
DNJA1_HUMAN,P31689,Q13616,IntAct
DNJA2_HUMAN,O60884,Q8NI36,IntAct
DNJA2_HUMAN,O60884,Q16659,IntAct
DNJA2_HUMAN,O60884,P05214,IntAct
DNJA2_HUMAN,O60884,Q9Y597,IntAct
DNJA2_HUMAN,O60884,Q9NRY4,IntAct
DNJA2_HUMAN,O60884,Q5QP82,IntAct
DNJA2_HUMAN,O60884,P62805,IntAct
DNJA2_HUMAN,O60884,Q9BRT8,IntAct
DNJA2_HUMAN,O60884,O95819,IntAct
DNJA2_HUMAN,O60884,Q99755,IntAct
DNJA2_HUMAN,O60884,Q8TCG2,IntAct
DNJA2_HUMAN,O60884,P51957,IntAct
DNJA2_HUMAN,O60884,Q9BVQ7,IntAct
DNJA2_HUMAN,O60884,P84022,IntAct
DNJA2_HUMAN,O60884,P42898,IntAct
DNJA2_HUMAN,O60884,P53671,IntAct
DNJA2_HUMAN,O60884,Q8TBC3,IntAct
DNJA2_HUMAN,O60884,Q96S52,IntAct
DNJA2_HUMAN,O60884,Q69YN2,IntAct
DNJA2_HUMAN,O60884,Q00587,IntAct
DNJA2_HUMAN,O60884,Q9HBG6,IntAct
DNJA2_HUMAN,O60884,O60294,IntAct
DNJA2_HUMAN,O60884,Q32P44,IntAct
DNJA2_HUMAN,O60884,Q9Y2Z2,IntAct
DNJA2_HUMAN,O60884,Q96BE0,IntAct
DNJA2_HUMAN,O60884,Q13882,IntAct
DNJA2_HUMAN,O60884,P41743,IntAct
DNJA2_HUMAN,O60884,Q7Z6Z7,IntAct
DNJA2_HUMAN,O60884,Q77M19,IntAct
DNJA2_HUMAN,O60884,Q96FC9,IntAct
DNJA2_HUMAN,O60884,Q02750,IntAct
DNJA2_HUMAN,O60884,Q96EF0,IntAct
DNJA2_HUMAN,O60884,P0DTC7,IntAct
DNJA2_HUMAN,O60884,Q96MH7,IntAct
DNJA2_HUMAN,O60884,Q9NZC9,IntAct
DNJA2_HUMAN,O60884,Q8WVS4,IntAct
DNJA2_HUMAN,O60884,Q6IQ23,IntAct
DNJA2_HUMAN,O60884,Q5S007,IntAct
DNJA2_HUMAN,O60884,Q8NBA8,IntAct
DNJA2_HUMAN,O60884,Q5FWF4,IntAct
DNJA2_HUMAN,O60884,Q9H074,IntAct
DNJA2_HUMAN,O60884,Q8NHV4,IntAct
DNJA2_HUMAN,O60884,P0DOE9,IntAct
DNJA2_HUMAN,O60884,Q9H9T3,IntAct
DNJA2_HUMAN,O60884,Q9BV44,IntAct
DNJA2_HUMAN,O60884,Q8TEQ6,IntAct
DNJA2_HUMAN,O60884,Q92466,IntAct
DNJA2_HUMAN,O60884,Q05513,IntAct
DNJA2_HUMAN,O60884,Q9UM73,IntAct
DNJA2_HUMAN,O60884,P57078,IntAct
DNJA2_HUMAN,O60884,P68366,IntAct
DNJA2_HUMAN,O60884,O00391,IntAct
DNJA2_HUMAN,O60884,Q9P2E3,IntAct
DNJA2_HUMAN,O60884,P35240,IntAct
DNJA2_HUMAN,O60884,Q8NDL9,IntAct
DNJA2_HUMAN,O60884,Q53HC5,IntAct
DNJA2_HUMAN,O60884,Q5THK1,IntAct
DNJA2_HUMAN,O60884,Q9P2G9,IntAct
DNJA2_HUMAN,O60884,O60508,IntAct
DNJA2_HUMAN,O60884,Q14444,IntAct
DNJA2_HUMAN,O60884,Q9H4M9,IntAct
DNJA2_HUMAN,O60884,P54198,IntAct
DNJA2_HUMAN,O60884,P09913,IntAct
DNJA2_HUMAN,O60884,P09936,IntAct
DNJA2_HUMAN,O60884,Q6PJI9,IntAct
DNJA2_HUMAN,O60884,Q13509,IntAct
DNJA2_HUMAN,O60884,Q8N0Z8,IntAct
DNJA2_HUMAN,O60884,Q13163,IntAct
DNJA2_HUMAN,O60884,Q53T94,IntAct
DNJA2_HUMAN,O60884,Q5XUX1,IntAct
DNJA2_HUMAN,O60884,Q14592,IntAct
DNJA2_HUMAN,O60884,Q9HCK5,IntAct
DNJA2_HUMAN,O60884,P0DTC3,IntAct
DNJA2_HUMAN,O60884,P69479,IntAct
DNJA2_HUMAN,O60884,P13569,IntAct
DNJA2_HUMAN,O60884,Q96EK7,IntAct
DNJA2_HUMAN,O60884,Q15572,IntAct
DNJA2_HUMAN,O60884,Q9UK39,IntAct
DNJA2_HUMAN,O60884,Q6Q0C0,IntAct
DNJA2_HUMAN,O60884,Q8NBT0,IntAct
DNJA2_HUMAN,O60884,P09622,IntAct
DNJA2_HUMAN,O60884,P04626,IntAct
DNJA2_HUMAN,O60884,O75161,IntAct
DNJA2_HUMAN,O60884,P10636,IntAct
DNJA2_HUMAN,O60884,Q7Z4G4,IntAct
DNJA2_HUMAN,O60884,Q969U6,IntAct
DNJA2_HUMAN,O60884,Q9NNW5,IntAct
DNJA2_HUMAN,O60884,Q8WW22,IntAct
DNJA2_HUMAN,O60884,O94955,IntAct
DNJA2_HUMAN,O60884,Q8IZ69,IntAct
DNJA2_HUMAN,O60884,Q9Y281,IntAct
DNJA2_HUMAN,O60884,Q5SVS4,IntAct
DNJA2_HUMAN,O60884,P07197,IntAct
DNJA2_HUMAN,O60884,Q96GM8,IntAct
DNJA2_HUMAN,O60884,Q2NKJ3,IntAct
DNJA2_HUMAN,O60884,Q6IA86,IntAct
DNJA2_HUMAN,O60884,Q9BXK1,IntAct
DNJA2_HUMAN,O60884,A4D1U4,IntAct
DNJA2_HUMAN,O60884,Q9NXB0,IntAct
DNJA2_HUMAN,O60884,P16260,IntAct
DNJA2_HUMAN,O60884,P62993,IntAct
DNJA2_HUMAN,O60884,P83887,IntAct
DNJA2_HUMAN,O60884,Q9BY44,IntAct
DNJA2_HUMAN,O60884,P43353,IntAct
DNJA2_HUMAN,O60884,Q14147,IntAct
DNJA2_HUMAN,O60884,Q9H5Z1,IntAct
DNJA2_HUMAN,O60884,Q8TCY9,IntAct
DNJA2_HUMAN,O60884,Q8NB90,IntAct
DNJA2_HUMAN,O60884,Q923W1,IntAct
DNJA2_HUMAN,O60884,Q15334,IntAct
DNJA2_HUMAN,O60884,P36507,IntAct
DNJA2_HUMAN,O60884,Q505B8,IntAct
DNJA2_HUMAN,O60884,P06213,IntAct
DNJA2_HUMAN,O60884,Q8NCD3,IntAct
DNJA2_HUMAN,O60884,P09668,IntAct
DNJA2_HUMAN,O60884,P07900,IntAct
DNJA2_HUMAN,O60884,O43379,IntAct
DNJA2_HUMAN,O60884,Q9UG56,IntAct
DNJA2_HUMAN,O60884,Q12834,IntAct
DNJA2_HUMAN,O60884,Q5SY16,IntAct
DNJA2_HUMAN,O60884,Q4JQW3,IntAct
DNJA2_HUMAN,O60884,P22830,IntAct
DNJA2_HUMAN,O60884,P0DTC8,IntAct
DNJA2_HUMAN,O60884,Q8NB91,IntAct
