Target_ID,Target_Protein_Name,Domain_ID
P19438,Tumor necrosis factor receptor superfamily member 1A,PF00531
P19438,Tumor necrosis factor receptor superfamily member 1A,PF00020
P61088,Ubiquitin-conjugating enzyme E2 N,PF00179
Q6P4R8,Nuclear factor related to kappa-B-binding protein,PF14465
P12956,X-ray repair cross-complementing protein 6,PF02735
P12956,X-ray repair cross-complementing protein 6,PF03730
P12956,X-ray repair cross-complementing protein 6,PF03731
P12956,X-ray repair cross-complementing protein 6,PF02037
Q9H0C5,BTB/POZ domain-containing protein 1,PF07707
Q9H0C5,BTB/POZ domain-containing protein 1,PF00651
Q9H0C5,BTB/POZ domain-containing protein 1,PF08005
P04049,RAF proto-oncogene serine/threonine-protein kinase,PF00130
P04049,RAF proto-oncogene serine/threonine-protein kinase,PF00069
P04049,RAF proto-oncogene serine/threonine-protein kinase,PF02196
P07948,Tyrosine-protein kinase Lyn,PF07714
P07948,Tyrosine-protein kinase Lyn,PF00017
P07948,Tyrosine-protein kinase Lyn,PF00018
P13667,Protein disulfide-isomerase A4,PF00085
P13667,Protein disulfide-isomerase A4,PF13848
P23258,Tubulin gamma-1 chain,PF00091
P23258,Tubulin gamma-1 chain,PF03953
Q8WU08,Serine/threonine-protein kinase 32A,PF00069
Q9GZP9,Derlin-2,PF04511
Q9Y2E6,E3 ubiquitin-protein ligase DTX4,PF18102
Q9Y2E6,E3 ubiquitin-protein ligase DTX4,PF02825
Q9Y2E6,E3 ubiquitin-protein ligase DTX4,PF00097
P22612,cAMP-dependent protein kinase catalytic subunit gamma,PF00069
Q08050,Forkhead box protein M1,PF00250
Q9BWT7,Caspase recruitment domain-containing protein 10,PF00619
Q9NV56,MRG/MORF4L-binding protein,PF07904
Q9NWK9,Box C/D snoRNA protein 1,PF04438
Q9Y6J9,TAF6-like RNA polymerase II p300/CBP-associated factor-associated factor 65 kDa subunit 6L,PF02969
Q9Y6J9,TAF6-like RNA polymerase II p300/CBP-associated factor-associated factor 65 kDa subunit 6L,PF07571
Q59H18,Serine/threonine-protein kinase TNNI3K,PF12796
Q59H18,Serine/threonine-protein kinase TNNI3K,PF13637
Q59H18,Serine/threonine-protein kinase TNNI3K,PF07714
Q4TT70,Regulator of G-protein signaling 11,PF00610
