Chaperone_Name,Chaperone_ID,Target_ID,Target_Protein_Name,Domain_ID,Interaction_Label,Source
DJC27_HUMAN,Q9NZQ0,Q9NVQ4,Fas apoptotic inhibitory molecule 1,PF06905,1,IntAct
DJC27_HUMAN,Q9NZQ0,Q8NB25,Protein FAM184A,PF15665,1,IntAct
DJC27_HUMAN,Q9NZQ0,Q8N4N3,Kelch-like protein 36,PF07707,1,IntAct
DJC27_HUMAN,Q9NZQ0,Q8N4N3,Kelch-like protein 36,PF00651,1,IntAct
DJC27_HUMAN,Q9NZQ0,Q8N4N3,Kelch-like protein 36,PF01344,1,IntAct
DJC27_HUMAN,Q9NZQ0,Q8N4N3,Kelch-like protein 36,PF24681,1,IntAct
DJC27_HUMAN,Q9NZQ0,P50579,Methionine aminopeptidase 2,PF00557,1,IntAct
DJC27_HUMAN,Q9NZQ0,Q12800,Alpha-globin transcription factor CP2,PF04516,1,IntAct
DJC27_HUMAN,Q9NZQ0,Q12800,Alpha-globin transcription factor CP2,PF25416,1,IntAct
DJC27_HUMAN,Q9NZQ0,Q12800,Alpha-globin transcription factor CP2,PF18016,1,IntAct
DJC27_HUMAN,Q9NZQ0,Q9BV99,Leucine-rich repeat-containing protein 61,PF13855,1,IntAct
DNJ5B_HUMAN,Q9UF47,O95747,Serine/threonine-protein kinase OSR1,PF12202,1,IntAct
DNJ5B_HUMAN,Q9UF47,O95747,Serine/threonine-protein kinase OSR1,PF00069,1,IntAct
DNJ5B_HUMAN,Q9UF47,Q15021,Condensin complex subunit 1,PF12717,1,IntAct
DNJ5B_HUMAN,Q9UF47,Q15021,Condensin complex subunit 1,PF12922,1,IntAct
DNJ5B_HUMAN,Q9UF47,O95407,Tumor necrosis factor receptor superfamily member 6B,PF00020,1,IntAct
DNJ5B_HUMAN,Q9UF47,Q8IUH5,Palmitoyltransferase ZDHHC17,PF12796,1,IntAct
DNJ5B_HUMAN,Q9UF47,Q8IUH5,Palmitoyltransferase ZDHHC17,PF01529,1,IntAct
DNJ5B_HUMAN,Q9UF47,Q9Y2U8,Inner nuclear membrane protein Man1,PF03020,1,IntAct
DNJ5B_HUMAN,Q9UF47,Q9Y2U8,Inner nuclear membrane protein Man1,PF09402,1,IntAct
DNJ5B_HUMAN,Q9UF47,P40938,Replication factor C subunit 3,PF13177,1,IntAct
DNJ5B_HUMAN,Q9UF47,P40938,Replication factor C subunit 3,PF21960,1,IntAct
DNJ5B_HUMAN,Q9UF47,P40938,Replication factor C subunit 3,PF22534,1,IntAct
DNJ5B_HUMAN,Q9UF47,Q8IUH4,Palmitoyltransferase ZDHHC13,PF12796,1,IntAct
DNJ5B_HUMAN,Q9UF47,Q8IUH4,Palmitoyltransferase ZDHHC13,PF01529,1,IntAct
DNJ5B_HUMAN,Q9UF47,Q2TAA5,GDP-Man:Man,PF15924,1,IntAct
DNJ5B_HUMAN,Q9UF47,Q2TAA5,GDP-Man:Man,PF00534,1,IntAct
DNJ5B_HUMAN,Q9UF47,P51809,Vesicle-associated membrane protein 7,PF13774,1,IntAct
DNJ5B_HUMAN,Q9UF47,P51809,Vesicle-associated membrane protein 7,PF00957,1,IntAct
DNJ5B_HUMAN,Q9UF47,Q12800,Alpha-globin transcription factor CP2,PF04516,1,IntAct
DNJ5B_HUMAN,Q9UF47,Q12800,Alpha-globin transcription factor CP2,PF25416,1,IntAct
DNJ5B_HUMAN,Q9UF47,Q12800,Alpha-globin transcription factor CP2,PF18016,1,IntAct
DNJ5B_HUMAN,Q9UF47,Q8NEW0,Zinc transporter 7,PF01545,1,IntAct
DNJ5B_HUMAN,Q9UF47,P13164,Interferon-induced transmembrane protein 1,PF04505,1,IntAct
DNJA1_HUMAN,P31689,P19438,Tumor necrosis factor receptor superfamily member 1A,PF00531,1,IntAct
DNJA1_HUMAN,P31689,P19438,Tumor necrosis factor receptor superfamily member 1A,PF00020,1,IntAct
DNJA1_HUMAN,P31689,Q16659,Mitogen-activated protein kinase 6,PF00069,1,IntAct
DNJA1_HUMAN,P31689,P05214,Tubulin alpha-3 chain,PF00091,1,IntAct
DNJA1_HUMAN,P31689,P05214,Tubulin alpha-3 chain,PF03953,1,IntAct
DNJA1_HUMAN,P31689,Q15051,IQ calmodulin-binding motif-containing protein 1,PF00612,1,IntAct
